epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.667,1.25964,3.29088,0.01442,0.71444,0.64848,0.72196,0.44869,1.22917,1.44027,0.01979,0.00997753,0.00332584,0.00997753,0.00332584,0.00997753,0.00332584,0.00997753,0.00332584
2,332.567,1.37684,1.78461,0.01631,0.73151,0.64512,0.72032,0.4315,1.35539,1.19464,0.02348,0.0199116,0.0066372,0.0199116,0.0066372,0.0199116,0.0066372,0.0199116,0.0066372
3,459.073,1.48545,1.64385,0.01814,0.62517,0.54827,0.59258,0.29586,1.64909,1.60666,0.03045,0.0297797,0.00992656,0.0297797,0.00992656,0.0297797,0.00992656,0.0297797,0.00992656
4,581.586,1.567,1.70824,0.01968,0.67859,0.5831,0.65028,0.35258,1.54743,1.424,0.02876,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,702.417,1.55539,1.60043,0.01928,0.72983,0.61069,0.67211,0.3742,1.55634,1.35956,0.02984,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,822.345,1.54046,1.52755,0.01888,0.72832,0.66058,0.73461,0.40592,1.50815,1.20584,0.02706,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,942.776,1.53533,1.49995,0.01862,0.74209,0.66873,0.73123,0.40753,1.50047,1.16511,0.02708,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1064.66,1.51615,1.47807,0.01872,0.75986,0.66768,0.73673,0.42408,1.47219,1.16405,0.02618,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1186.79,1.50482,1.42908,0.01835,0.77503,0.70548,0.78095,0.46301,1.4217,1.0449,0.02551,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1307.48,1.49633,1.4094,0.01836,0.77854,0.678,0.77051,0.43946,1.48185,1.06715,0.02729,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1427.15,1.49584,1.36157,0.01809,0.76606,0.71906,0.78288,0.46637,1.40095,1.02694,0.02449,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1548.47,1.4741,1.35271,0.01783,0.78721,0.71653,0.79239,0.47771,1.39997,0.99659,0.02508,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1669.22,1.46679,1.31937,0.01774,0.81817,0.72793,0.8081,0.48972,1.38831,0.95613,0.02416,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1788.79,1.46939,1.32334,0.01745,0.80853,0.72482,0.81385,0.49399,1.35789,0.92269,0.02318,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1911.58,1.45353,1.26833,0.01718,0.80422,0.75849,0.8276,0.51765,1.32015,0.89095,0.02287,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2034.48,1.44462,1.28713,0.01745,0.79987,0.75889,0.82517,0.49878,1.37335,0.9209,0.02391,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2154.68,1.43166,1.24005,0.01714,0.80048,0.72619,0.81232,0.49899,1.31949,0.96264,0.02265,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2272.52,1.44487,1.25841,0.01718,0.82479,0.75179,0.83611,0.51938,1.30879,0.89038,0.022,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2392.68,1.41947,1.24184,0.01703,0.82278,0.72832,0.81923,0.50454,1.34114,0.91345,0.02328,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2511.6,1.42569,1.24715,0.0171,0.82072,0.74261,0.82852,0.51511,1.30834,0.90738,0.02241,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2631.07,1.42326,1.22281,0.01692,0.84046,0.75371,0.84648,0.52278,1.3462,0.83758,0.02301,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2751.68,1.41199,1.19915,0.01706,0.82856,0.75493,0.83986,0.52903,1.29728,0.86418,0.02178,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2871.78,1.41035,1.20299,0.01678,0.84233,0.76031,0.84901,0.53835,1.27873,0.82034,0.02146,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3700.69,1.3987,1.18451,0.01645,0.85573,0.74286,0.84433,0.53583,1.29179,0.84631,0.02195,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3818.6,1.40289,1.17991,0.01672,0.83617,0.76332,0.84476,0.53993,1.2884,0.82963,0.02194,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3935.17,1.3983,1.15965,0.01637,0.83478,0.77768,0.85221,0.54412,1.28211,0.80306,0.02152,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,4053.21,1.38818,1.14508,0.0164,0.83677,0.77511,0.85394,0.5491,1.28103,0.82042,0.02176,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,4171.75,1.3917,1.15939,0.01624,0.84074,0.76626,0.85693,0.54265,1.2694,0.79722,0.02098,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,4291.11,1.37796,1.14935,0.01606,0.84503,0.77413,0.85781,0.54745,1.26606,0.80346,0.02085,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,4409.13,1.38247,1.1383,0.01632,0.85075,0.77756,0.85759,0.55507,1.25241,0.77273,0.02056,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,4528.42,1.36929,1.12356,0.01601,0.84918,0.78601,0.86484,0.55884,1.25558,0.77853,0.02071,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,4646.88,1.36927,1.1143,0.0158,0.84159,0.76455,0.85328,0.5502,1.25506,0.80936,0.0208,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4766.51,1.36648,1.14038,0.01607,0.85037,0.77861,0.85329,0.55794,1.23972,0.80058,0.02038,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4884.12,1.36237,1.11867,0.01611,0.85197,0.77013,0.85952,0.55742,1.25157,0.80454,0.02097,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5002.99,1.35793,1.11867,0.0158,0.87131,0.75786,0.86245,0.55295,1.26328,0.78499,0.0212,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5120.48,1.36093,1.09426,0.01583,0.86018,0.77533,0.86408,0.56435,1.25167,0.76767,0.02075,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,5239.09,1.35561,1.10025,0.01585,0.84207,0.79961,0.86829,0.56586,1.23786,0.7542,0.02036,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5356.83,1.34672,1.08134,0.01575,0.87233,0.77526,0.87232,0.57483,1.21469,0.74607,0.01976,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5476.11,1.346,1.08522,0.01559,0.85315,0.79715,0.87491,0.57341,1.2122,0.74377,0.01978,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,5593.99,1.34644,1.0731,0.01577,0.85842,0.79416,0.87627,0.58384,1.19214,0.73536,0.01942,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
