epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,421.778,1.62876,2.88358,0.01204,0.61174,0.57925,0.59755,0.31203,1.56383,1.43254,0.01586,0.00998701,0.003329,0.00998701,0.003329,0.00998701,0.003329,0.00998701,0.003329
2,776.026,1.52577,1.77617,0.01109,0.65562,0.61979,0.65085,0.34784,1.55955,1.30918,0.01623,0.0199211,0.00664035,0.0199211,0.00664035,0.0199211,0.00664035,0.0199211,0.00664035
3,1103.63,1.55798,1.75346,0.01145,0.63177,0.60808,0.63422,0.32152,1.63805,1.34505,0.0179,0.0297891,0.0099297,0.0297891,0.0099297,0.0297891,0.0099297,0.0297891,0.0099297
4,1426.81,1.57782,1.76893,0.01166,0.66241,0.64009,0.67922,0.36238,1.57219,1.2075,0.01651,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1749.42,1.54462,1.66602,0.01134,0.66683,0.6418,0.67217,0.36272,1.59112,1.16737,0.01679,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2073.44,1.52414,1.59556,0.01114,0.68421,0.64429,0.68521,0.37063,1.56737,1.18287,0.01751,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2396.25,1.49511,1.52654,0.01087,0.71108,0.67982,0.72522,0.40572,1.49624,1.05794,0.01562,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2719.24,1.47976,1.46577,0.01068,0.73307,0.69778,0.74861,0.42516,1.48119,0.99258,0.01504,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3041.1,1.46052,1.4271,0.01045,0.7284,0.69127,0.75132,0.43234,1.43799,0.99062,0.01418,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3361.86,1.45086,1.404,0.01035,0.74699,0.71582,0.77527,0.44438,1.4528,0.92176,0.01452,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,3684.39,1.43774,1.35768,0.01018,0.75381,0.72433,0.78134,0.45169,1.43191,0.90429,0.01373,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4006.62,1.42135,1.32678,0.01012,0.78243,0.7409,0.80157,0.46956,1.412,0.84311,0.01373,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,4332.51,1.41849,1.30191,0.01003,0.78171,0.73501,0.80089,0.47286,1.38524,0.83876,0.01329,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,4657.82,1.40571,1.26915,0.00995,0.79765,0.75726,0.82255,0.48137,1.40791,0.80665,0.01419,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,4978.96,1.39093,1.24408,0.00976,0.78346,0.7558,0.81737,0.48615,1.36816,0.7815,0.01286,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,5300.39,1.38562,1.22618,0.00959,0.80038,0.76262,0.82259,0.49162,1.37139,0.77152,0.01313,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,5622.02,1.36861,1.20339,0.00953,0.79746,0.74653,0.81907,0.48536,1.38086,0.7893,0.01287,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,5944.74,1.36709,1.18406,0.00948,0.79982,0.7674,0.82852,0.49989,1.35246,0.75848,0.01247,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,6269.66,1.35137,1.16623,0.00936,0.80787,0.77348,0.83876,0.50539,1.32729,0.74022,0.01224,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,6592.91,1.34401,1.15052,0.00935,0.81748,0.78364,0.84491,0.51507,1.33445,0.71965,0.01235,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,6916.04,1.33938,1.13098,0.00926,0.82262,0.78254,0.85046,0.52031,1.32954,0.70421,0.01244,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,7241.74,1.32996,1.11622,0.0092,0.81182,0.7995,0.85368,0.52214,1.31561,0.69556,0.01194,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,7565.08,1.3224,1.09586,0.00904,0.82509,0.79765,0.85431,0.52772,1.30195,0.69147,0.01186,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,7888.05,1.31776,1.07781,0.00901,0.83747,0.78911,0.86142,0.53101,1.29919,0.67876,0.01208,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8210.82,1.30658,1.07098,0.00899,0.82721,0.79323,0.86461,0.53749,1.28453,0.68136,0.01166,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8531.69,1.31053,1.05667,0.00892,0.83181,0.81255,0.87104,0.5436,1.2836,0.66481,0.01164,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,8856.45,1.29834,1.05061,0.00887,0.84423,0.81615,0.87692,0.55165,1.2703,0.64855,0.01141,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9179.72,1.28833,1.04375,0.0088,0.85449,0.80397,0.87717,0.55035,1.26754,0.64764,0.01128,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,9499.94,1.28327,1.03559,0.00877,0.85053,0.81566,0.88139,0.55505,1.25986,0.63816,0.01119,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,9821.83,1.27613,1.01258,0.00866,0.84993,0.80673,0.87719,0.55615,1.25151,0.64239,0.01137,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,10143.8,1.27178,1.00773,0.00866,0.84533,0.82319,0.8844,0.55835,1.25827,0.62961,0.01134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,10466.7,1.26198,0.99529,0.00856,0.85444,0.81089,0.88066,0.56074,1.24422,0.63051,0.01096,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,10788.7,1.25624,0.98588,0.00854,0.85104,0.82247,0.88716,0.569,1.22683,0.60917,0.0108,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,11113.2,1.25454,0.98287,0.0085,0.84266,0.8325,0.88835,0.57027,1.23562,0.60061,0.01096,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,11437.2,1.25304,0.97716,0.00847,0.85468,0.83315,0.89033,0.57616,1.21839,0.604,0.01067,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
